episode,episode_steps,episode_reward,max_tile
1423,347,5276,512
1424,259,2972,256
1425,222,2644,256
1426,449,5244,512
1427,297,3220,256
1428,452,3672,256
1429,433,5212,512
1430,356,3276,256
1431,266,3064,256
1432,145,1304,128
1433,441,6460,512
1434,314,3456,256
1435,361,3740,256
1436,266,3060,256
1437,671,11672,1024
1438,293,3084,256
1439,390,5396,512
1440,150,1692,128
1441,302,2140,128
1442,451,6860,512
1443,470,5728,512
1444,278,3068,256
1445,560,5024,256
1446,273,3304,256
1447,203,1576,128
1448,231,2788,256
1449,450,4404,256
1450,230,1380,128
1451,449,6608,512
1452,378,5332,512
1453,218,2756,256
1454,430,5232,512
1455,524,6712,512
1456,454,5276,512
1457,404,6228,512
1458,471,6504,512
1459,355,4636,256
1460,379,5252,512
1461,452,6604,512
1462,556,6908,512
1463,457,6864,512
1464,422,5876,512
1465,219,2812,256
1466,148,1556,128
1467,153,1564,128
1468,299,2956,256
1469,256,3008,256
1470,341,4952,512
1471,740,6916,512
1472,218,1936,128
1473,464,5912,512
1474,890,8376,512
1475,445,3236,256
1476,473,5224,512
1477,752,6632,512
1478,414,3104,256
1479,483,6328,512
1480,385,3640,256
1481,766,11716,1024
1482,237,2856,256
1483,280,2236,256
1484,534,6804,512
1485,480,6872,512
